Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,57.439999,57.470001,55.41,55.68,196100,55.099369
2015-12-30,57.139999,58.150002,57.009998,57.880001,228000,57.276428
2015-12-29,56.459999,57.07,56.07,57.00,136300,56.405603
2015-12-28,54.880001,56.529999,54.77,55.98,198400,55.396239
2015-12-24,54.75,56.02,53.75,54.970001,89700,54.396773
2015-12-23,54.41,54.830002,53.900002,54.779999,135300,54.208752
2015-12-22,52.75,54.279999,52.389999,53.990002,160800,53.426993
2015-12-21,51.689999,53.209999,51.09,52.549999,175400,52.002007
2015-12-18,52.580002,52.900002,51.16,51.169998,371100,50.636397
2015-12-17,53.75,54.27,52.77,52.91,121900,52.358254
2015-12-16,52.41,53.860001,52.41,53.540001,74200,52.981685
2015-12-15,53.290001,53.669998,51.959999,52.200001,160400,51.655659
2015-12-14,51.990002,55.130001,51.040001,53.009998,233800,52.457209
2015-12-11,52.810001,52.860001,51.450001,51.700001,121000,51.160873
2015-12-10,52.970001,54.209999,52.970001,53.59,72500,53.031163
2015-12-09,54.099998,54.349998,52.709999,53.049999,66500,52.496793
2015-12-08,53.66,54.68,53.50,54.220001,52400,53.654594
2015-12-07,54.150002,54.509998,53.860001,54.200001,88400,53.634803
2015-12-04,53.919998,54.50,53.540001,54.290001,73400,53.723864
2015-12-03,54.029999,54.830002,52.259998,53.900002,192300,53.337932
2015-12-02,53.130001,54.16,52.720001,53.77,126600,53.209286
2015-12-01,53.330002,53.93,52.43,53.09,122600,52.536377
2015-11-30,53.549999,53.759998,52.880001,53.169998,94900,52.506686
2015-11-27,53.48,54.09,53.150002,53.380001,39100,52.714069
2015-11-25,53.50,53.759998,52.98,53.48,61700,52.81282
2015-11-24,54.57,54.889999,53.200001,53.50,206300,52.832571
2015-11-23,51.93,55.150002,51.93,54.919998,243400,54.234854
2015-11-20,51.540001,52.060001,51.279999,51.689999,111300,51.04515
2015-11-19,52.009998,52.459999,51.02,51.16,95900,50.521763
2015-11-18,52.52,52.52,51.66,52.220001,178400,51.56854
2015-11-17,51.939999,53.240002,51.450001,52.419998,140800,51.766042
2015-11-16,51.119999,51.950001,50.900002,51.759998,147700,51.114276
2015-11-13,51.220001,53.98,50.389999,51.029999,131000,50.393384
2015-11-12,53.25,53.75,51.099998,51.52,257900,50.877272
2015-11-11,53.00,54.98,53.00,53.240002,310600,52.575816
2015-11-10,52.080002,52.66,51.779999,52.619999,57000,51.963548
2015-11-09,52.799999,52.799999,51.490002,52.25,72500,51.598165
2015-11-06,52.59,53.07,51.650002,52.91,124600,52.249931
2015-11-05,52.00,53.049999,51.639999,52.869999,142700,52.210429
2015-11-04,51.529999,52.529999,51.459999,52.09,155300,51.440161
2015-11-03,51.200001,52.330002,50.75,51.540001,166900,50.897023
2015-11-02,50.169998,51.68,49.279999,51.470001,137400,50.827897
2015-10-30,51.450001,54.900002,50.02,50.209999,241000,49.583614
2015-10-29,53.490002,53.98,51.27,51.380001,313100,50.73902
2015-10-28,46.200001,54.040001,46.200001,53.490002,944600,52.822697
2015-10-27,43.189999,45.790001,43.02,43.360001,367800,42.819071
2015-10-26,43.00,43.34,42.139999,43.169998,242800,42.631439
2015-10-23,42.57,43.66,42.220001,43.07,338400,42.532688
2015-10-22,43.959999,44.200001,41.529999,42.060001,359100,41.53529
2015-10-21,43.810001,45.439999,43.00,43.880001,317200,43.332584
2015-10-20,46.00,46.639999,45.00,45.610001,152900,45.041002
2015-10-19,44.48,46.09,44.48,46.00,120000,45.426136
2015-10-16,44.68,45.73,44.490002,44.610001,151900,44.053477
2015-10-15,44.029999,44.880001,44.029999,44.77,184800,44.211481
2015-10-14,44.810001,45.16,43.93,44.07,124800,43.520213
2015-10-13,45.549999,45.919998,44.950001,44.959999,126500,44.399109
2015-10-12,46.07,46.490002,45.610001,45.66,115400,45.090377
2015-10-09,44.860001,46.299999,44.860001,46.25,139100,45.673017
2015-10-08,44.84,45.139999,44.23,44.810001,117800,44.250983
2015-10-07,44.650002,45.130001,43.759998,45.009998,156700,44.448485
